t40,mv40,t80,mv80,t115,mv115,t1925,mv1925,t255,mV255,,,M,M,M,M,M,M,M,M,M,M
0,0,0,0,0,0,0,0,0,0,,,0,255,0,255,0,255,0,255,0,255
12.3,-0.0120885,19.83,-0.010340833,29.87,-0.010166453,29.87,-0.00513964,29.74,-0.006866459,,,12.3,248,19.83,249,29.87,249.1,29.87,252,29.74,251
24.61,-0.023802915,39.65,-0.020933907,59.74,-0.024523138,59.74,-0.010340833,59.48,-0.0120885,,,24.61,241.4,39.65,243,59.74,241,59.74,249,59.48,248
36.91,-0.035472318,59.48,-0.030876566,89.61,-0.034733722,89.61,-0.017374096,89.22,-0.015605073,,,36.91,235,59.48,237.5,89.61,235.4,89.61,245,89.22,246
49.22,-0.05089713,79.3,-0.042928201,119.48,-0.050514323,119.48,-0.020933907,118.96,-0.019150354,,,49.22,226.8,79.3,231,119.48,227,119.48,243,118.96,244
61.52,-0.0641175,99.13,-0.054357662,149.35,-0.060187206,149.35,-0.028142279,148.7,-0.026328939,,,61.52,220,99.13,225,149.35,222,149.35,239,148.7,240
73.83,-0.083907469,118.96,-0.0641175,179.22,-0.070480903,179.22,-0.033628177,178.43,-0.029963223,,,73.83,210.2,118.96,220,179.22,216.8,179.22,236,178.43,238
86.13,-0.103560244,138.78,-0.086186148,209.09,-0.082257725,209.09,-0.040117223,208.17,-0.035472318,,,86.13,200.9,138.78,209.1,209.09,211,209.09,232.5,208.17,235
98.43,-0.118514645,158.61,-0.096910013,238.96,-0.096910013,238.96,-0.046704698,237.91,-0.041052196,,,98.43,194.1,158.61,204,238.96,204,238.96,229,237.91,232
110.74,-0.130078376,178.43,-0.105510185,268.83,-0.10987499,268.83,-0.058235317,267.65,-0.044812344,,,110.74,189,178.43,200,268.83,198,268.83,223,267.65,230
123.04,-0.141722357,198.26,-0.116505569,298.7,-0.123238952,298.7,-0.062541111,297.39,-0.048605333,,,123.04,184,198.26,195,298.7,192,298.7,220.8,297.39,228
135.35,-0.156120178,218.09,-0.127786579,328.57,-0.139368452,328.57,-0.068083687,327.13,-0.054357662,,,135.35,178,218.09,190,328.57,185,328.57,218,327.13,225
147.65,-0.168494077,237.91,-0.139368452,358.43,-0.158566914,358.43,-0.076126407,356.87,-0.060187206,,,147.65,173,237.91,185,358.43,177,358.43,214,356.87,222
159.96,-0.181230899,257.74,-0.150544454,388.3,-0.171011734,388.3,-0.081846267,386.61,-0.071282924,,,159.96,168,257.74,180.3,388.3,172,388.3,211.2,386.61,216.4
172.26,-0.194352576,277.57,-0.161027513,418.17,-0.181230899,418.17,-0.086393894,416.35,-0.082257725,,,172.26,163,277.57,176,418.17,168,418.17,209,416.35,211
184.57,-0.210640528,297.39,-0.172022897,448.04,-0.197025166,448.04,-0.093305889,446.09,-0.090569835,,,184.57,157,297.39,171.6,448.04,162,448.04,205.7,446.09,207
196.87,-0.22184875,317.22,-0.183823709,477.91,-0.213415582,477.91,-0.101188811,475.83,-0.096910013,,,196.87,153,317.22,167,477.91,156,477.91,202,475.83,204
